Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,13.225000,13.225000,11.375000,11.987500,11.987500,4356208
2000-01-31,12.500000,24.750000,12.125000,22.450001,22.450001,13937328
2000-02-29,23.250000,23.250000,14.125000,15.575000,15.575000,13353240
2000-03-31,16.250000,16.537500,11.250000,12.737500,12.737500,7688880
2000-04-30,12.737500,14.375000,9.525000,11.402500,11.402500,5208060
2000-05-31,11.250000,12.000000,9.532500,10.025000,10.025000,3562748
2000-06-30,10.250000,10.250000,8.680000,9.250000,9.250000,2560548
2000-07-31,9.300000,16.100000,9.125000,14.625000,14.625000,6674888
2000-08-31,14.750000,15.500000,11.252500,13.375000,13.375000,3904840
2000-09-30,12.637500,14.500000,10.025000,12.700000,12.700000,3260452
2000-10-31,12.800000,13.200000,9.127500,9.312500,9.312500,5674020
2000-11-30,9.360000,11.225000,8.152500,10.375000,10.375000,5053120
2000-12-31,10.375000,11.225000,8.847500,10.625000,10.625000,3254756
2001-01-31,10.600000,12.250000,8.750000,9.275000,9.275000,3617508
2001-02-28,9.012500,9.850000,7.175000,8.872500,8.872500,3137660
2001-03-31,8.987500,11.725000,8.097500,11.450000,11.450000,2299968
2001-04-30,11.450000,12.022500,10.382500,11.185000,11.185000,2769384
2001-05-31,11.150000,11.495000,9.050000,10.027500,10.027500,3688320
2001-06-30,10.125000,10.710000,9.025000,10.500000,10.500000,3675836
2001-07-31,10.500000,11.812500,9.812500,10.125000,10.125000,6164096
2001-08-31,9.950000,10.375000,5.550000,6.625000,6.625000,5330672
2001-09-30,6.500000,9.600000,6.187500,9.447500,9.447500,5854500
2001-10-31,9.325000,10.862500,8.905000,9.725000,9.725000,10791024
2001-11-30,9.550000,10.450000,8.912500,9.375000,9.375000,4787304
2001-12-31,9.375000,9.672500,8.950000,9.370000,9.370000,5260680
2002-01-31,9.927500,9.992500,7.365000,8.250000,8.250000,10740120
2002-02-28,8.332500,8.985000,8.055000,8.237500,8.237500,5813880
2002-03-31,8.237500,8.510000,7.405000,7.427500,7.427500,7052268
2002-04-30,7.427500,8.127500,6.877500,7.372500,7.372500,6367512
2002-05-31,7.372500,7.372500,4.075000,4.500000,4.500000,9882760
2002-06-30,4.625000,4.687500,2.825000,3.422500,3.422500,8923656
2002-07-31,3.445000,4.612500,2.910000,4.000000,4.000000,6474020
2002-08-31,3.937500,3.975000,1.950000,2.087500,2.087500,6709780
2002-09-30,2.125000,3.400000,1.780000,3.077500,3.077500,11804992
2002-10-31,3.200000,4.687500,2.925000,4.377500,4.377500,9712980
2002-11-30,4.450000,4.667500,2.540000,2.650000,2.650000,7662616
2002-12-31,2.660000,3.017500,2.380000,2.917500,2.917500,11847124
2003-01-31,2.975000,3.272500,2.415000,2.620000,2.620000,6380948
2003-02-28,2.687500,2.950000,2.487500,2.502500,2.502500,5388600
2003-03-31,2.555000,3.900000,2.520000,3.880000,3.880000,7680428
2003-04-30,3.880000,4.500000,3.557500,4.025000,4.025000,13697588
2003-05-31,4.070000,4.475000,4.035000,4.187500,4.187500,8660884
2003-06-30,4.187500,4.722500,4.000000,4.625000,4.625000,7629336
2003-07-31,4.615000,4.695000,4.100000,4.685000,4.685000,5542952
2003-08-31,4.750000,4.967500,4.440000,4.675000,4.675000,8548876
2003-09-30,4.672500,7.087500,4.502500,6.952500,6.952500,18595100
2003-10-31,7.000000,7.372500,6.075000,6.462500,6.462500,15199448
2003-11-30,6.420000,6.692500,5.035000,5.590000,5.590000,16101084
2003-12-31,5.590000,5.885000,4.662500,4.915000,4.915000,12084180
2004-01-31,4.975000,4.985000,3.835000,4.475000,4.475000,30678128
2004-02-29,4.500000,5.350000,4.487500,5.132500,5.132500,21338016
2004-03-31,5.145000,5.735000,5.107500,5.527500,5.527500,8931280
2004-04-30,5.520000,5.520000,4.980000,5.395000,5.395000,6655236
2004-05-31,5.375000,5.400000,4.502500,4.947500,4.947500,6772904
2004-06-30,4.955000,5.037500,4.287500,4.440000,4.440000,4079304
2004-07-31,4.430000,4.612500,3.845000,4.325000,4.325000,2870540
2004-08-31,4.372500,4.522500,3.762500,3.857500,3.857500,4791124
2004-09-30,3.872500,4.227500,3.582500,3.975000,3.975000,6089420
2004-10-31,4.030000,4.182500,3.795000,4.017500,4.017500,4895920
2004-11-30,4.012500,7.287500,4.012500,6.647500,6.647500,20615488
2004-12-31,6.625000,7.910000,6.155000,7.750000,7.750000,20286872
2005-01-31,7.690000,8.462500,7.527500,7.527500,7.527500,13880492
2005-02-28,7.992500,8.225000,7.115000,7.520000,7.520000,8058052
2005-03-31,7.512500,8.180000,7.450000,7.777500,7.777500,5396148
2005-04-30,7.795000,9.537500,7.535000,9.100000,9.100000,12598108
2005-05-31,9.125000,10.650000,9.125000,10.322500,10.322500,15151104
2005-06-30,10.210000,11.675000,10.210000,11.440000,11.440000,8482916
2005-07-31,11.515000,11.875000,10.270000,10.402500,10.402500,5525344
2005-08-31,10.450000,10.937500,10.202500,10.847500,10.847500,4301736
2005-09-30,10.875000,11.112500,9.480000,9.620000,9.620000,4430876
2005-10-31,9.800000,10.250000,9.512500,9.685000,9.685000,3857736
2005-11-30,9.712500,10.610000,9.402500,10.040000,10.040000,12507236
2005-12-31,10.035000,10.192500,8.377500,8.745000,8.745000,13451828
2006-01-31,8.775000,9.000000,7.617500,8.162500,8.162500,11596500
2006-02-28,8.112500,9.657500,8.112500,9.512500,9.512500,13726728
2006-03-31,9.502500,10.110000,9.250000,9.820000,9.820000,8436084
2006-04-30,9.845000,10.355000,9.012500,10.005000,10.005000,11080768
2006-05-31,9.950000,10.205000,9.027500,9.450000,9.450000,9172644
2006-06-30,9.497500,9.622500,8.382500,9.500000,9.500000,10321552
2006-07-31,9.500000,10.525000,9.402500,10.410000,10.410000,8385100
2006-08-31,10.375000,12.075000,9.562500,11.415000,11.415000,12101684
2006-09-30,11.302500,12.382500,11.075000,12.090000,12.090000,13332932
2006-10-31,12.055000,13.075000,11.665000,11.875000,11.875000,13490704
2006-11-30,11.950000,26.280001,11.000000,12.785000,12.785000,12277906
2006-12-31,25.570000,25.570000,12.720000,15.425000,15.425000,12125318
2007-01-31,15.545000,17.325001,15.050000,16.650000,16.650000,8621854
2007-02-28,16.645000,18.850000,15.375000,18.275000,18.275000,12156858
2007-03-31,18.254999,37.860001,17.100000,18.250000,18.250000,6403748
2007-04-30,36.500000,36.500000,16.525000,18.635000,18.635000,8373328
2007-05-31,18.594999,19.695000,17.955000,19.575001,19.575001,6051802
2007-06-30,19.400000,25.389999,19.400000,23.975000,23.975000,12453976
2007-07-31,23.920000,24.139999,19.270000,22.785000,22.785000,15432426
2007-08-31,22.655001,24.870001,20.670000,23.950001,23.950001,7486208
2007-09-30,23.900000,28.889999,22.860001,28.344999,28.344999,14571116
2007-10-31,28.355000,30.490000,25.504999,29.754999,29.754999,13029772
2007-11-30,32.000000,65.699997,29.514999,34.735001,34.735001,7325308
2007-12-31,33.165001,35.250000,21.750000,30.165001,30.165001,23508666
2008-01-31,30.620001,33.450001,27.525000,27.950001,27.950001,15105312
2008-02-29,27.735001,49.070000,23.555000,27.285000,27.285000,13903082
2008-03-31,28.750000,33.000000,28.305000,32.299999,32.299999,14355362
2008-04-30,32.889999,35.750000,30.245001,31.150000,31.150000,13983150
2008-05-31,30.940001,31.820000,26.549999,27.865000,27.865000,12346878
2008-06-30,27.865000,34.500000,27.334999,33.150002,33.150002,14644912
2008-07-31,33.334999,33.334999,30.125000,31.965000,31.965000,3330946
2008-08-31,31.750000,32.075001,22.004999,24.400000,24.400000,11330656
2008-09-30,25.000000,25.799999,17.000000,20.584999,20.584999,19993474
2008-10-31,21.615000,23.580000,16.760000,18.090000,18.090000,12685509
2008-11-30,17.889999,19.070000,11.030000,13.950000,13.950000,15716141
2008-12-31,13.950000,14.890000,9.660000,11.070000,11.070000,27659341
2009-01-31,10.875000,13.000000,10.550000,11.925000,11.925000,16251139
2009-02-28,11.735000,14.430000,11.000000,13.760000,13.760000,15107729
2009-03-31,13.700000,17.264999,13.690000,14.900000,14.900000,15971045
2009-04-30,14.900000,15.820000,13.230000,14.350000,14.350000,12926639
2009-05-31,14.750000,17.730000,14.500000,17.344999,17.344999,11023743
2009-06-30,17.285000,17.690001,10.700000,11.985000,11.985000,20625253
2009-07-31,12.150000,13.025000,11.670000,12.420000,12.420000,11437984
2009-08-31,12.530000,13.900000,11.855000,12.940000,12.940000,13978287
2009-09-30,13.040000,13.700000,10.750000,10.750000,10.750000,19883488
2009-10-31,10.710000,11.550000,9.711000,10.145000,10.145000,27538120
2009-11-30,10.415000,10.935000,9.456000,9.920000,9.920000,39078062
2009-12-31,10.010000,11.290000,9.100000,9.889000,9.889000,39780832
2010-01-31,9.873000,10.690000,8.855000,8.974000,8.974000,19401168
2010-02-28,9.019000,10.540000,8.540000,10.180000,10.180000,22267375
2010-03-31,10.220000,11.255000,9.500000,9.627000,9.627000,18305395
2010-04-30,9.610000,9.860000,7.340000,7.724000,7.724000,20178977
2010-05-31,7.681000,8.210000,6.190000,6.191000,6.191000,23723693
2010-06-30,6.386000,7.490000,6.074000,7.266000,7.266000,28120286
2010-07-31,7.299000,7.880000,6.650000,6.824000,6.824000,12255204
2010-08-31,6.877000,8.490000,6.750000,8.166000,8.166000,15836726
2010-09-30,8.151000,9.449000,8.022000,9.349000,9.349000,12992351
2010-10-31,9.390000,10.100000,7.181000,7.370000,7.370000,30330989
2010-11-30,7.450000,8.199000,7.384000,8.000000,8.000000,13226907
2010-12-31,8.050000,8.734000,7.893000,8.571000,8.571000,11111281
2011-01-31,8.619000,9.431000,7.780000,8.024000,8.024000,15541669
2011-02-28,8.057000,8.069000,6.858000,7.209000,7.209000,10580994
2011-03-31,7.250000,7.800000,6.663000,6.778000,6.778000,10965983
2011-04-30,6.844000,7.150000,6.311000,6.902000,6.902000,19283554
2011-05-31,6.908000,7.388000,6.380000,6.913000,6.913000,13690324
2011-06-30,6.910000,7.290000,5.430000,5.826000,5.826000,12433057
2011-07-31,6.000000,6.044000,4.422000,4.982000,4.982000,15573915
2011-08-31,4.961000,4.967000,3.565000,4.082000,4.082000,17035930
2011-09-30,3.970000,4.685000,3.631000,4.364000,4.364000,10177216
2011-10-31,4.250000,5.412000,4.031000,5.374000,5.374000,12792705
2011-11-30,5.338000,5.600000,4.651000,5.171000,5.171000,7824669
2011-12-31,5.170000,6.080000,5.080000,5.980000,5.980000,8082994
2012-01-31,5.982000,6.560000,5.952000,6.394000,6.394000,5359933
2012-02-29,6.388000,6.451000,5.324000,5.533000,5.533000,5757510
2012-03-31,5.530000,5.583000,4.836000,5.199000,5.199000,7586132
2012-04-30,5.199000,5.789000,5.006000,5.415000,5.415000,7601230
2012-05-31,5.426000,5.660000,5.010000,5.274000,5.274000,4837932
2012-06-30,5.341000,5.714000,4.921000,5.620000,5.620000,4049784
2012-07-31,5.591000,6.278000,5.300000,6.010000,6.010000,3528844
2012-08-31,6.012000,6.535000,6.011000,6.207000,6.207000,3171872
2012-09-30,6.214000,7.340000,6.071000,7.169000,7.169000,4090751
2012-10-31,7.170000,7.976000,6.816000,7.712000,7.712000,7487902
2012-11-30,7.798000,8.078000,7.510000,7.900000,7.900000,6648918
2012-12-31,7.900000,8.020000,6.990000,7.110000,7.110000,6160939
2013-01-31,7.150000,8.490000,7.050000,8.390000,8.390000,9051482
2013-02-28,8.380000,9.040000,8.230000,8.430000,8.430000,6197808
2013-03-31,8.430000,8.590000,7.620000,8.470000,8.470000,4306821
2013-04-30,8.470000,10.340000,8.360000,10.120000,10.120000,9057251
2013-05-31,10.060000,10.640000,9.630000,10.060000,10.060000,4925295
2013-06-30,10.050000,11.850000,10.050000,11.470000,11.470000,7274917
2013-07-31,11.490000,12.250000,11.220000,11.430000,11.430000,4431398
2013-08-31,11.500000,11.990000,11.070000,11.430000,11.430000,6086402
2013-09-30,11.460000,11.970000,7.550000,9.480000,9.480000,28015460
2013-10-31,9.400000,10.300000,8.900000,9.690000,9.690000,10627940
2013-11-30,9.720000,10.290000,9.090000,10.280000,10.280000,6732686
2013-12-31,10.280000,11.010000,9.889000,10.370000,10.370000,8356823
2014-01-31,10.390000,11.950000,9.800000,11.870000,11.870000,7750745
2014-02-28,11.625000,13.150000,11.470000,13.000000,13.000000,9436626
2014-03-31,13.000000,13.770000,12.130000,13.430000,13.430000,6323472
2014-04-30,13.430000,14.900000,13.265000,14.655000,14.655000,8688783
2014-05-31,14.885000,15.340000,13.155000,13.450000,13.450000,6635485
2014-06-30,13.375000,14.040000,12.380000,12.525000,12.525000,6386365
2014-07-31,12.405000,13.050000,10.610000,12.630000,12.630000,6069797
2014-08-31,12.630000,13.950000,12.235000,13.000000,13.000000,5654686
2014-09-30,12.955000,14.490000,11.050000,14.430000,14.430000,8466183
2014-10-31,14.450000,15.090000,12.905000,14.055000,14.055000,9284492
2014-11-30,14.140000,15.350000,13.670000,15.165000,15.165000,7412408
2014-12-31,15.165000,17.950001,14.805000,17.889999,17.889999,8139591
2015-01-31,17.799999,18.209999,16.360001,16.415001,16.415001,8549231
2015-02-28,16.500000,17.490000,16.090000,17.205000,17.205000,6051699
2015-03-31,17.250000,18.180000,16.254999,16.434999,16.434999,5477174
2015-04-30,16.434999,17.485001,15.010000,16.440001,16.440001,10007277
2015-05-31,16.469999,16.975000,15.250000,15.980000,15.980000,7005203
2015-06-30,16.135000,18.055000,14.835000,17.690001,17.690001,8264063
2015-07-31,17.645000,18.875000,15.090000,16.695000,16.695000,5650181
2015-08-31,16.455000,18.879999,15.880000,18.110001,18.110001,7702564
