Date,Open,High,Low,Last,Volume,Turnover
2014-02-14,11.6,11.86,11.52,11.76,438601.0,5153386.735
2014-02-17,11.8,11.93,11.61,11.795,323017.0,3791107.12
2014-02-18,11.765,11.9,11.68,11.79,195108.0,2297760.3
2014-02-19,11.735,11.95,11.735,11.9,323861.0,3842438.67
2014-02-20,11.815,11.95,11.71,11.77,298575.0,3530541.86
2014-02-21,11.755,11.9,11.665,11.795,184494.0,2173504.03
2014-02-24,11.715,11.82,11.68,11.82,195481.0,2299470.05
2014-02-25,11.765,11.86,11.66,11.77,266901.0,3138092.71
2014-02-26,11.745,11.8,11.66,11.8,209601.0,2462783.14
2014-02-27,11.75,11.8,11.48,11.78,309668.0,3609131.61
2014-02-28,11.7,11.87,11.67,11.87,356997.0,4214236.01
2014-03-05,11.74,11.92,11.74,11.85,396500.0,4695234.3
2014-03-06,11.88,12.39,11.855,12.39,500435.0,6091353.085
2014-03-07,12.395,13.15,12.39,12.96,984926.0,12741934.8
2014-03-10,12.95,13.03,12.525,12.6,344218.0,4387336.61
2014-03-11,12.525,12.67,12.355,12.415,295314.0,3672255.2
2014-03-12,12.3,12.42,12.075,12.21,845826.0,10318263.8
2014-03-13,12.225,12.325,12.08,12.08,475384.0,5789751.365
2014-03-14,11.98,12.055,11.59,12.0,554052.0,6556916.04
2014-03-17,11.92,12.505,11.92,12.505,301294.0,3726276.4
2014-03-18,12.5,12.68,12.315,12.65,264747.0,3309789.81
2014-03-19,12.625,12.98,12.57,12.95,485865.0,6253631.015
2014-03-20,12.845,12.945,12.6,12.77,447970.0,5718056.54
2014-03-21,12.825,12.96,12.585,12.585,416751.0,5303909.54
2014-03-24,12.595,12.6,12.02,12.13,656348.0,8027143.09
2014-03-25,12.23,12.385,12.07,12.34,249047.0,3055264.9
2014-03-26,12.385,12.685,12.315,12.65,350028.0,4382538.78
2014-03-27,12.64,12.705,12.53,12.59,430818.0,5429339.13
2014-03-28,12.605,12.95,12.48,12.805,461743.0,5877750.01
2014-03-31,12.81,13.0,12.75,13.0,391465.0,5044533.385
2014-04-01,13.0,13.12,12.86,12.97,532416.0,6914979.74
2014-04-02,12.95,13.015,12.8,12.88,311241.0,4021126.62
2014-04-03,12.86,13.13,12.86,12.995,340342.0,4422786.36
2014-04-04,12.985,12.985,12.81,12.95,129039.0,1665376.11
2014-04-07,12.81,12.82,12.61,12.72,260142.0,3312789.65
2014-04-08,12.71,12.72,12.38,12.405,273229.0,3407688.17
2014-04-09,12.455,12.89,12.455,12.87,273625.0,3482572.25
2014-04-10,12.9,13.0,12.76,12.85,349383.0,4513613.51
2014-04-11,12.69,12.755,12.455,12.605,295859.0,3728517.75
2014-04-14,12.585,12.605,12.2,12.29,279272.0,3446654.53
2014-04-15,12.37,12.42,12.19,12.26,243649.0,2992771.36
2014-04-16,12.335,12.57,12.21,12.24,213876.0,2633739.02
2014-04-17,12.215,12.64,12.13,12.54,214911.0,2673360.06
2014-04-22,12.555,12.85,12.555,12.82,178049.0,2272040.96
2014-04-23,12.755,13.275,12.75,13.185,541627.0,7088960.69
2014-04-24,13.24,13.54,13.16,13.355,459950.0,6162574.28
2014-04-25,13.3,13.39,13.1,13.115,231139.0,3060585.74
2014-04-28,13.1,13.6,13.06,13.315,369396.0,4950713.89
2014-04-29,13.42,13.76,13.29,13.64,494533.0,6734246.42
2014-04-30,13.635,13.77,13.305,13.43,331794.0,4481126.29
2014-05-02,13.395,13.615,13.265,13.5,280042.0,3776026.25
2014-05-05,13.565,13.64,13.48,13.55,174235.0,2361105.015
2014-05-06,13.55,13.6,13.42,13.57,258513.0,3496131.19
2014-05-07,13.48,14.1,13.48,13.9,539725.0,7489304.64
2014-05-08,13.955,14.1,13.63,14.07,317248.0,4413041.085
2014-05-09,14.02,14.215,13.85,14.215,382626.0,5402701.89
