,Title,Date,Score
0,Tom Clancy's The Division 2 (PS4),"Mar 15, 2019",tbd
1,Tom Clancy's The Division 2 (PC),"Mar 15, 2019",tbd
2,Tom Clancy's The Division 2 (XONE),"Mar 12, 2019",tbd
3,Trials Rising (PS4),"Feb 12, 2019",tbd
4,Trials Rising (XONE),"Feb 12, 2019",tbd
5,Trials Rising (Switch),"Feb 12, 2019",tbd
6,Trials Rising (PC),"Feb 12, 2019",tbd
7,Assassin's Creed Rebellion (iOS),"Nov 21, 2018",tbd
8,The Settlers History Collection (PC),"Nov 15, 2018",tbd
9,Valiant Hearts: The Great War (Switch),"Nov 8, 2018",tbd
10,Brawlhalla (XONE),"Nov 6, 2018",tbd
11,Brawlhalla (Switch),"Nov 6, 2018",tbd
12,Sports Party (Switch),"Oct 30, 2018",tbd
13,America's Greatest Game Shows: Wheel of Fortune & Jeopardy! (Switch),"Oct 30, 2018",tbd
14,Steep: The X Games Pass (PS4),"Oct 30, 2018",tbd
15,Steep: The X Games Pass (XONE),"Oct 30, 2018",tbd
16,Steep: The X Games Pass (PC),"Oct 30, 2018",tbd
17,Hasbro Game Night for Nintendo Switch (Switch),"Oct 30, 2018",tbd
18,RISK Global Domination (Switch),"Oct 30, 2018",tbd
19,TRIVIAL PURSUIT Live! (Switch),"Oct 30, 2018",tbd
20,Jeopardy! (Switch),"Oct 30, 2018",tbd
21,Wheel of Fortune (Switch),"Oct 30, 2018",tbd
22,Just Dance 2019 (PS4),"Oct 23, 2018",tbd
23,Just Dance 2019 (XONE),"Oct 23, 2018",tbd
24,Just Dance 2019 (WIIU),"Oct 23, 2018",tbd
25,Just Dance 2019 (WII),"Oct 23, 2018",tbd
26,Just Dance 2019 (X360),"Oct 23, 2018",tbd
27,Just Dance 2019 (Switch),"Oct 23, 2018",tbd
28,Starlink: Battle for Atlas (PS4),"Oct 16, 2018",5.2
29,Starlink: Battle for Atlas (XONE),"Oct 16, 2018",6.3
30,Starlink: Battle for Atlas (Switch),"Oct 16, 2018",7.9
31,For Honor: Marching Fire Edition (PS4),"Oct 16, 2018",4.4
32,For Honor: Marching Fire Edition (XONE),"Oct 16, 2018",tbd
33,For Honor: Marching Fire (PS4),"Oct 16, 2018",6.3
34,For Honor: Marching Fire (XONE),"Oct 16, 2018",tbd
35,Child of Light (Switch),"Oct 11, 2018",7.9
36,Assassin's Creed Odyssey (PS4),"Oct 2, 2018",5.6
37,Assassin's Creed Odyssey (XONE),"Oct 2, 2018",4.9
38,Assassin's Creed Odyssey (PC),"Oct 2, 2018",4.9
39,The Crew 2: Gator Rush (PS4),"Sep 26, 2018",tbd
40,The Crew 2: Gator Rush (XONE),"Sep 26, 2018",tbd
