,Name,Developer,CriticScore,UserScore,GlobalSale,ReleaseDate
2,Imagine: Makeup Artist,Global A Entertainment,N/A,N/A,0.2,2020-12-31
33,F1 2018,Codemasters Birmingham,N/A,N/A,0.2,2018-08-24
34,Legendary Fishing,Ubisoft,N/A,N/A,0.0,2018-09-18
35,Legendary Fishing,Ubisoft,N/A,N/A,0.0,2018-09-18
37,Far Cry 3: Classic Edition,Ubisoft Montreal,N/A,N/A,0.0,2018-07-05
38,The Crew 2,Ivory Tower,N/A,N/A,0.2,2018-06-29
39,The Crew 2,Ivory Tower,6.5,N/A,0.5,2018-06-29
41,Railway Empire,Gaming Minds Studios,N/A,N/A,0.0,2018-01-30
42,South Park: The Fractured But Whole,Ubisoft San Francisco,N/A,N/A,0.0,2018-04-24
43,Far Cry 5,Ubisoft Montreal,7.2,N/A,1.5,2018-03-27
44,Far Cry 5,Ubisoft,7.9,N/A,3.6,2018-03-27
45,Far Cry 5,Ubisoft,6.3,N/A,0.0,2018-02-27
46,Assassin's Creed Rogue Remastered    Read the review,Ubisoft,6.0,N/A,0.0,2018-03-20
47,Assassin's Creed Rogue Remastered,Ubisoft,N/A,N/A,0.1,2018-03-20
48,South Park: The Stick of Truth,Obsidian Entertainment,N/A,N/A,0.0,2018-02-13
49,South Park: The Stick of Truth,Obsidian Entertainment,N/A,N/A,0.0,2018-02-13
50,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Ubisoft,N/A,N/A,0.0,2017-11-07
51,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Ubisoft,N/A,N/A,0.0,2017-11-07
53,Monopoly for Nintendo Switch,Engine Software,5.3,N/A,0.2,2017-10-31
54,Assassin's Creed Origins,Ubisoft Montreal,N/A,N/A,3.9,2017-10-27
55,Assassin's Creed Origins,Ubisoft Montreal,N/A,N/A,0.1,2017-10-27
56,Assassin's Creed Origins,Ubisoft Montreal,N/A,N/A,2.3,2017-10-27
57,Just Dance 2018,Ubisoft Paris,N/A,N/A,0.3,2017-10-24
58,Just Dance 2018,Ubisoft Paris,N/A,N/A,0.1,2017-10-24
59,Just Dance 2018,Ubisoft Paris,N/A,N/A,0.6,2017-10-24
60,Just Dance 2018,Ubisoft Paris,N/A,N/A,0.0,2017-10-24
61,Just Dance 2018,Ubisoft Paris,N/A,N/A,0.2,2017-10-24
62,Just Dance 2018,Ubisoft Paris,N/A,N/A,0.0,2017-10-24
63,Just Dance 2018,Ubisoft Paris,N/A,N/A,0.2,2017-10-24
64,South Park: The Fractured But Whole,Ubisoft San Francisco,N/A,N/A,0.5,2017-10-17
65,South Park: The Fractured But Whole,Ubisoft San Francisco,N/A,N/A,1.3,2017-10-17
66,South Park: The Fractured But Whole,Ubisoft San Francisco,N/A,N/A,0.0,2017-10-17
67,Sniper: Ghost Warrior 3,City Interactive,N/A,N/A,0.3,2017-04-25
68,F1 2017,Codemasters,N/A,N/A,0.6,2017-08-25
69,Rayman Legends,Ubisoft Montpellier,4.5,N/A,0.5,2017-09-12
70,Mario + Rabbids: Kingdom Battle    Read the review,Ubisoft Milan,7.7,N/A,2.1,2017-08-29
71,DiRT 4,Codemasters,N/A,N/A,0.4,2017-06-06
72,Star Trek Bridge Crew,Red Storm Entertainment,N/A,N/A,0.2,2017-05-30
73,Tom Clancy's Ghost Recon Wildlands,Ubisoft Paris,7.0,N/A,3.0,2017-03-07
74,Tom Clancy's Ghost Recon Wildlands,Ubisoft Paris,7.4,N/A,0.0,2017-03-07
75,Tom Clancy's Ghost Recon Wildlands,Ubisoft Paris,7.7,N/A,1.5,2017-03-07
76,Just Dance 2017,Ubisoft Paris,6.5,N/A,0.2,2017-03-03
77,For Honor,Ubisoft Montreal,N/A,N/A,0.0,2017-02-14
78,For Honor,Ubisoft Montreal,N/A,N/A,0.8,2017-02-14
79,For Honor,Ubisoft Montreal,N/A,N/A,1.6,2017-02-14
80,Werewolves Within,Ubisoft,N/A,N/A,0.0,2016-12-06
81,Steep,Ubisoft Annecy,N/A,N/A,0.4,2016-12-02
82,Steep,Ubisoft Annecy,N/A,N/A,0.9,2016-12-02
85,Assassin's Creed The Ezio Collection,Ubisoft,N/A,N/A,0.7,2016-11-15
86,Assassin's Creed The Ezio Collection,Ubisoft,N/A,N/A,0.2,2016-11-15
87,Hasbro Family Fun Pack Conquest Edition,Ubisoft,N/A,N/A,0.0,2016-11-15
88,Hasbro Family Fun Pack Conquest Edition,Ubisoft,N/A,N/A,0.0,2016-11-15
89,Watch Dogs 2,Ubisoft,N/A,N/A,0.0,2016-11-15
90,Watch Dogs 2,Ubisoft,N/A,N/A,1.3,2016-11-15
91,Watch Dogs 2,Ubisoft,N/A,N/A,3.3,2016-11-15
92,Eagle Flight,Ubisoft,N/A,N/A,0.1,2016-11-08
93,Just Dance 2017,Ubisoft Paris,N/A,N/A,0.4,2016-10-25
94,Just Dance 2017,Ubisoft Paris,N/A,N/A,0.2,2016-10-25
95,Just Dance 2017,Ubisoft Paris,N/A,N/A,0.1,2016-10-25
96,Just Dance 2017,Ubisoft Paris,N/A,N/A,0.2,2016-10-25
97,Just Dance 2017,Ubisoft Paris,N/A,N/A,0.3,2016-10-25
98,Just Dance 2017,Ubisoft Paris,N/A,N/A,1.0,2016-10-25
100,Rocksmith 2014 Edition Remastered,Ubisoft,N/A,N/A,0.1,2016-10-04
101,Rocksmith 2014 Edition Remastered,Ubisoft,N/A,N/A,0.1,2016-10-04
103,Just Sing,Ubisoft,N/A,N/A,0.0,2016-09-06
104,Just Sing,Ubisoft,N/A,N/A,0.0,2016-09-06
105,F1 2016,Codemasters,N/A,N/A,0.7,2017-01-01
106,Grand Ages: Medieval,Gaming Minds Studios,N/A,N/A,0.0,2015-09-29
107,Assassin's Creed Chronicles,Climax Studios,N/A,N/A,0.1,2016-04-05
108,TrackMania Turbo,Nadeo,N/A,N/A,0.0,2016-03-22
109,TrackMania Turbo,Nadeo,N/A,N/A,0.1,2016-03-22
110,TrackMania Turbo,Nadeo,N/A,N/A,0.4,2016-03-22
111,Tom Clancy's The Division,Massive Entertainment,N/A,N/A,2.5,2016-03-08
112,Tom Clancy's The Division,Massive Entertainment,N/A,N/A,0.4,2016-03-08
113,Tom Clancy's The Division,Massive Entertainment,N/A,N/A,4.3,2016-03-08
114,Far Cry: Primal,Ubisoft Montreal,8.0,N/A,0.2,2016-03-01
115,Far Cry: Primal,Ubisoft Montreal,7.8,N/A,1.0,2016-02-23
116,Far Cry: Primal,Ubisoft Montreal,7.2,N/A,2.7,2016-02-23
119,Assassin's Creed Chronicles,Climax Studios,N/A,N/A,0.0,2016-02-09
121,Assassin's Creed Chronicles,Climax Studios,N/A,N/A,0.1,2016-02-09
124,Zombi,Ubisoft Montpellier,N/A,N/A,0.0,2016-01-21
129,Tom Clancy's Rainbow Six: Siege,Ubisoft Montreal,N/A,N/A,2.5,2015-12-01
130,Tom Clancy's Rainbow Six: Siege,Ubisoft Montreal,N/A,N/A,4.1,2015-12-01
131,Tom Clancy's Rainbow Six: Siege,Ubisoft Montreal,N/A,N/A,0.3,2015-12-01
132,Assassin's Creed Syndicate,Ubisoft Quebec,N/A,N/A,0.2,2015-11-19
133,The Crew: Wild Run,Ivory Tower,N/A,N/A,0.0,2015-11-17
134,The Crew: Wild Run,Ivory Tower,N/A,N/A,0.0,2015-11-17
135,The Crew: Wild Run,Ivory Tower,N/A,N/A,0.1,2015-11-17
136,Anno 2205,Blue Byte,N/A,N/A,0.2,2015-11-03
137,Assassin's Creed Syndicate,Ubisoft Quebec,N/A,N/A,1.4,2015-10-23
138,Assassin's Creed Syndicate,Ubisoft Quebec,8.6,N/A,3.5,2015-10-23
139,Hasbro Family Fun Pack,Ubisoft,N/A,N/A,0.1,2015-10-20
141,Just Dance 2016,Ubisoft Paris,N/A,N/A,0.3,2015-10-20
142,Just Dance 2016,Ubisoft Paris,N/A,N/A,0.3,2015-10-20
143,Just Dance 2016,Ubisoft Paris,N/A,N/A,1.1,2015-10-20
144,Just Dance 2016,Ubisoft Paris,N/A,N/A,0.6,2015-10-20
145,Just Dance 2016,Ubisoft Paris,N/A,N/A,0.2,2015-10-20
146,Just Dance 2016,Ubisoft Paris,N/A,N/A,0.3,2015-10-20
147,Gravity Falls: Legend of the Gnome Gemulets,Ubisoft,N/A,N/A,0.0,2015-10-20
148,Just Dance: Disney Party 2,Ubisoft San Francisco,N/A,N/A,0.0,2015-10-20
149,Just Dance: Disney Party 2,Ubisoft San Francisco,N/A,N/A,0.0,2015-10-20
150,Just Dance: Disney Party 2,Ubisoft San Francisco,N/A,N/A,0.0,2015-10-20
151,Just Dance: Disney Party 2,Ubisoft San Francisco,N/A,N/A,0.0,2015-10-20
152,Might & Magic Heroes VII,Limbic Software,N/A,N/A,0.0,2015-09-29
154,Zombi,Ubisoft Montpellier,7.5,N/A,0.0,2015-08-18
156,Toy Soldiers: War Chest,Signal Studios,N/A,N/A,0.0,2015-08-11
157,Toy Soldiers: War Chest,Signal Studios,N/A,N/A,0.0,2015-08-11
158,F1 2015,Codemasters Birmingham,N/A,N/A,0.6,2015-07-21
159,F1 2015,Codemasters Birmingham,N/A,N/A,0.0,2015-07-21
160,F1 2015,Codemasters Birmingham,N/A,N/A,0.2,2015-07-21
161,Tetris Ultimate,Ubisoft Montreal,N/A,N/A,0.0,2015-06-04
165,Assassin's Creed Chronicles: China,Ubisoft,N/A,N/A,0.0,2015-04-01
