Title,Date,Score
Tom Clancy's The Division 2 (PS4),"Mar 15, 2019",tbd
Tom Clancy's The Division 2 (PC),"Mar 15, 2019",tbd
Tom Clancy's The Division 2 (XONE),"Mar 12, 2019",tbd
Trials Rising (PS4),"Feb 12, 2019",tbd
Trials Rising (XONE),"Feb 12, 2019",tbd
Trials Rising (Switch),"Feb 12, 2019",tbd
Trials Rising (PC),"Feb 12, 2019",tbd
Assassin's Creed Rebellion (iOS),"Nov 21, 2018",tbd
The Settlers History Collection (PC),"Nov 15, 2018",tbd
Valiant Hearts: The Great War (Switch),"Nov 8, 2018",tbd
Brawlhalla (XONE),"Nov 6, 2018",tbd
Brawlhalla (Switch),"Nov 6, 2018",tbd
Sports Party (Switch),"Oct 30, 2018",tbd
America's Greatest Game Shows: Wheel of Fortune & Jeopardy! (Switch),"Oct 30, 2018",tbd
Steep: The X Games Pass (PS4),"Oct 30, 2018",tbd
Steep: The X Games Pass (XONE),"Oct 30, 2018",tbd
Steep: The X Games Pass (PC),"Oct 30, 2018",tbd
Hasbro Game Night for Nintendo Switch (Switch),"Oct 30, 2018",tbd
RISK Global Domination (Switch),"Oct 30, 2018",tbd
TRIVIAL PURSUIT Live! (Switch),"Oct 30, 2018",tbd
Jeopardy! (Switch),"Oct 30, 2018",tbd
Wheel of Fortune (Switch),"Oct 30, 2018",tbd
Just Dance 2019 (PS4),"Oct 23, 2018",tbd
Just Dance 2019 (XONE),"Oct 23, 2018",tbd
Just Dance 2019 (WIIU),"Oct 23, 2018",tbd
Just Dance 2019 (WII),"Oct 23, 2018",tbd
Just Dance 2019 (X360),"Oct 23, 2018",tbd
Just Dance 2019 (Switch),"Oct 23, 2018",tbd
Starlink: Battle for Atlas (PS4),"Oct 16, 2018",5.2
Starlink: Battle for Atlas (XONE),"Oct 16, 2018",6.3
Starlink: Battle for Atlas (Switch),"Oct 16, 2018",7.9
For Honor: Marching Fire Edition (PS4),"Oct 16, 2018",4.4
For Honor: Marching Fire Edition (XONE),"Oct 16, 2018",tbd
For Honor: Marching Fire (PS4),"Oct 16, 2018",6.3
For Honor: Marching Fire (XONE),"Oct 16, 2018",tbd
Child of Light (Switch),"Oct 11, 2018",7.9
Assassin's Creed Odyssey (PS4),"Oct 2, 2018",5.6
Assassin's Creed Odyssey (XONE),"Oct 2, 2018",4.9
Assassin's Creed Odyssey (PC),"Oct 2, 2018",4.9
The Crew 2: Gator Rush (PS4),"Sep 26, 2018",tbd
The Crew 2: Gator Rush (XONE),"Sep 26, 2018",tbd
The Crew 2: Gator Rush (PC),"Sep 26, 2018",tbd
South Park: The Stick of Truth (Switch),"Sep 25, 2018",8.1
Transference (PC),"Sep 18, 2018",6.8
Transference (PS4),"Sep 18, 2018",4.8
Transference (XONE),"Sep 18, 2018",5.6
Legendary Fishing (Switch),"Sep 18, 2018",tbd
Legendary Fishing (PS4),"Sep 18, 2018",tbd
Hungry Dragon (iOS),"Aug 30, 2018",tbd
Far Cry 5: Dead Living Zombies (PS4),"Aug 28, 2018",3.4
Far Cry 5: Dead Living Zombies (PC),"Aug 28, 2018",1.6
Far Cry 5: Dead Living Zombies (XONE),"Aug 28, 2018",1.5
South Park: The Fractured But Whole - Bring the Crunch (PS4),"Jul 31, 2018",5.2
South Park: The Fractured But Whole - Bring the Crunch (XONE),"Jul 31, 2018",tbd
South Park: The Fractured But Whole - Bring the Crunch (PC),"Jul 31, 2018",tbd
South Park: The Fractured But Whole - Bring the Crunch (Switch),"Jul 31, 2018",tbd
Star Trek: Bridge Crew The Next Generation (PC),"Jul 21, 2018",tbd
Far Cry 5: Lost on Mars (XONE),"Jul 17, 2018",3.4
Far Cry 5: Lost on Mars (PC),"Jul 17, 2018",2.8
Far Cry 5: Lost on Mars (PS4),"Jul 17, 2018",5.4
Hungry Shark World (Switch),"Jul 17, 2018",6.0
Hungry Shark World (XONE),"Jul 17, 2018",tbd
Hungry Shark World (PS4),"Jul 17, 2018",tbd
The Crew 2 (PS4),"Jun 26, 2018",4.9
The Crew 2 (XONE),"Jun 26, 2018",5.1
The Crew 2 (PC),"Jun 26, 2018",4.8
Far Cry 3: Classic Edition (PS4),"Jun 26, 2018",5.8
Far Cry 3: Classic Edition (XONE),"Jun 26, 2018",5.4
Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure (Switch),"Jun 26, 2018",7.8
Far Cry 5: Hours of Darkness (PS4),"Jun 5, 2018",4.7
Far Cry 5: Hours of Darkness (PC),"Jun 5, 2018",4.3
Far Cry 5: Hours of Darkness (XONE),"Jun 5, 2018",5.1
Might & Magic Elemental Guardians (iOS),"May 31, 2018",tbd
Star Trek: Bridge Crew The Next Generation (PS4),"May 22, 2018",tbd
South Park: The Fractured But Whole (Switch),"Apr 24, 2018",7.6
South Park: The Fractured But Whole - Danger Deck (Switch),"Apr 24, 2018",tbd
South Park: The Fractured But Whole - From Dusk till Casa Bonita (Switch),"Apr 24, 2018",tbd
Far Cry 5 (PS4),"Mar 27, 2018",6.8
Far Cry 5 (XONE),"Mar 27, 2018",6.8
Far Cry 5 (PC),"Mar 27, 2018",5.9
South Park: The Fractured But Whole - From Dusk till Casa Bonita (PS4),"Mar 20, 2018",4.7
South Park: The Fractured But Whole - From Dusk till Casa Bonita (XONE),"Mar 20, 2018",tbd
South Park: The Fractured But Whole - From Dusk till Casa Bonita (PC),"Mar 20, 2018",tbd
Assassin's Creed Rogue Remastered (XONE),"Mar 20, 2018",6.6
Assassin's Creed Rogue Remastered (PS4),"Mar 20, 2018",5.9
Assassin's Creed Origins: The Curse of the Pharaohs (XONE),"Mar 13, 2018",6.8
Assassin's Creed Origins: The Curse of the Pharaohs (PC),"Mar 13, 2018",6.1
Assassin's Creed Origins: The Curse of the Pharaohs (PS4),"Mar 13, 2018",7.7
Discovery Tour by Assassin's Creed: Ancient Egypt (PC),"Feb 20, 2018",tbd
Discovery Tour by Assassin's Creed: Ancient Egypt (XONE),"Feb 20, 2018",tbd
Discovery Tour by Assassin's Creed: Ancient Egypt (PS4),"Feb 20, 2018",tbd
South Park: The Stick of Truth (XONE),"Feb 13, 2018",8.3
Tom Clancy's Rainbow Six Siege: Advanced Edition (PS4),"Feb 13, 2018",6.5
Tom Clancy's Rainbow Six Siege: Advanced Edition (XONE),"Feb 13, 2018",tbd
Assassin's Creed Origins: The Hidden Ones (PC),"Jan 23, 2018",7.3
Assassin's Creed Origins: The Hidden Ones (PS4),"Jan 23, 2018",7.0
Assassin's Creed Origins: The Hidden Ones (XONE),"Jan 23, 2018",7.3
South Park: The Fractured But Whole - Danger Deck (PS4),"Dec 19, 2017",6.5
South Park: The Fractured But Whole - Danger Deck (XONE),"Dec 19, 2017",tbd
South Park: The Fractured But Whole - Danger Deck (PC),"Dec 19, 2017",tbd
Steep: Road to the Olympics (PS4),"Dec 5, 2017",6.8
Steep: Road to the Olympics (XONE),"Dec 5, 2017",tbd
Steep: Road to the Olympics (PC),"Dec 5, 2017",tbd
Steep: Winter Games Edition (XONE),"Dec 5, 2017",tbd
Steep: Winter Games Edition (PS4),"Dec 5, 2017",tbd
Tom Clancy's Rainbow Six Siege - Operation White Noise (PS4),"Dec 5, 2017",tbd
Tom Clancy's Rainbow Six Siege - Operation White Noise (PC),"Dec 5, 2017",tbd
Tom Clancy's Rainbow Six Siege - Operation White Noise (XONE),"Dec 5, 2017",tbd
Tom Clancy's ShadowBreak (iOS),"Nov 29, 2017",tbd
Ode (PC),"Nov 27, 2017",7.1
Assassin's Creed Origins: The Trials of the Gods (XONE),"Nov 22, 2017",tbd
Assassin's Creed Origins: The Trials of the Gods (PC),"Nov 22, 2017",tbd
Assassin's Creed Origins: The Trials of the Gods (PS4),"Nov 22, 2017",tbd
Mario + Rabbids: Kingdom Battle - Gold Edition (Switch),"Nov 17, 2017",tbd
South Park: Phone Destroyer (iOS),"Nov 9, 2017",5.7
America's Greatest Game Shows: Wheel of Fortune & Jeopardy! (PS4),"Nov 7, 2017",tbd
America's Greatest Game Shows: Wheel of Fortune & Jeopardy! (XONE),"Nov 7, 2017",tbd
Jeopardy! (PS4),"Nov 7, 2017",tbd
Jeopardy! (XONE),"Nov 7, 2017",tbd
Wheel of Fortune (PS4),"Nov 7, 2017",tbd
Wheel of Fortune (XONE),"Nov 7, 2017",tbd
Uno (Switch),"Nov 7, 2017",6.9
Monopoly for Nintendo Switch (Switch),"Oct 31, 2017",6.5
Assassin's Creed Origins (PS4),"Oct 27, 2017",7.2
Assassin's Creed Origins (XONE),"Oct 27, 2017",7.5
Assassin's Creed Origins (PC),"Oct 27, 2017",6.7
Just Dance 2018 (PS4),"Oct 24, 2017",6.0
Just Dance 2018 (XONE),"Oct 24, 2017",1.8
Just Dance 2018 (Switch),"Oct 24, 2017",5.5
Just Dance 2018 (X360),"Oct 24, 2017",5.9
Just Dance 2018 (PS3),"Oct 24, 2017",2.3
Just Dance 2018 (WII),"Oct 24, 2017",5.4
Just Dance 2018 (WIIU),"Oct 24, 2017",4.6
South Park: The Fractured But Whole (PC),"Oct 17, 2017",6.6
South Park: The Fractured But Whole (XONE),"Oct 17, 2017",7.6
South Park: The Fractured But Whole (PS4),"Oct 17, 2017",7.6
Mario + Rabbids: Kingdom Battle - Ultra Challenge Pack (Switch),"Oct 17, 2017",6.3
Atomega (PC),"Sep 19, 2017",tbd
Rayman Legends: Definitive Edition (Switch),"Sep 12, 2017",8.1
Monopoly Plus (PC),"Sep 7, 2017",4.0
Mario + Rabbids: Kingdom Battle (Switch),"Aug 29, 2017",8.5
Tom Clancy's Ghost Recon: Wildlands - Ghost Pack: Santa Blanca (PS4),"Jun 23, 2017",tbd
Tom Clancy's Ghost Recon: Wildlands - Fallen Ghosts (PS4),"Jun 6, 2017",6.2
Tom Clancy's Ghost Recon: Wildlands - Fallen Ghosts (PC),"Jun 6, 2017",tbd
Star Trek: Bridge Crew (PC),"May 30, 2017",7.6
Star Trek: Bridge Crew (PS4),"May 30, 2017",7.1
Tom Clancy's Ghost Recon: Wildlands - Fallen Ghosts (XONE),"May 29, 2017",tbd
Trackmania 2 Lagoon (PC),"May 23, 2017",tbd
Watch Dogs 2: No Compromise (PC),"May 18, 2017",3.2
Watch Dogs 2: No Compromise (XONE),"May 18, 2017",tbd
Rocksmith (iOS),"May 16, 2017",tbd
Steep - Winterfest Pack (PS4),"May 3, 2017",tbd
Tom Clancy's Ghost Recon: Wildlands - Narco Road (PC),"Apr 25, 2017",2.0
Tom Clancy's Ghost Recon: Wildlands - Narco Road (XONE),"Apr 25, 2017",tbd
Syberia 3 (PC),"Apr 20, 2017",6.0
Tom Clancy's Ghost Recon: Wildlands - Narco Road (PS4),"Apr 18, 2017",4.0
Watch Dogs 2: No Compromise (PS4),"Apr 4, 2017",7.4
Watch Dogs 2: Human Conditions (XONE),"Mar 23, 2017",tbd
Tom Clancy's Ghost Recon: Wildlands (PC),"Mar 7, 2017",6.2
Tom Clancy's Ghost Recon: Wildlands (PS4),"Mar 7, 2017",6.1
Tom Clancy's Ghost Recon: Wildlands (XONE),"Mar 7, 2017",6.6
Just Dance 2017 (Switch),"Mar 3, 2017",5.2
Tom Clancy's The Division: Gold Edition (XONE),"Mar 3, 2017",tbd
Tom Clancy's The Division - The Last Stand (PC),"Feb 28, 2017",tbd
Tom Clancy's The Division - The Last Stand (PS4),"Feb 28, 2017",2.5
Tom Clancy's The Division - The Last Stand (XONE),"Feb 28, 2017",4.3
Rabbids Crazy Rush (iOS),"Feb 22, 2017",6.0
Watch Dogs 2: Human Conditions (PS4),"Feb 21, 2017",7.2
For Honor (PS4),"Feb 14, 2017",6.1
For Honor (XONE),"Feb 14, 2017",5.9
For Honor (PC),"Feb 13, 2017",5.3
Tom Clancy's Ghost Recon: Wildlands HQ (iOS),"Feb 3, 2017",tbd
City of Love: Paris (iOS),"Feb 1, 2017",tbd
Might & Magic Showdown (PC),TBA - Early Access,tbd
Horse Adventure: Tale of Etria (iOS),"Jan 12, 2017",tbd
Tom Clancy's Rainbow Six Siege: Gold Edition (XONE),"Dec 20, 2016",tbd
Werewolves Within (PC),"Dec 6, 2016",tbd
Werewolves Within (PS4),"Dec 6, 2016",7.3
Uno (2016) (PC),"Dec 4, 2016",tbd
Steep (PS4),"Dec 2, 2016",6.5
Steep (XONE),"Dec 2, 2016",6.5
The Crew: Calling All Units (PS4),"Nov 29, 2016",2.8
The Crew: Ultimate Edition (XONE),"Nov 29, 2016",5.8
The Crew: Calling All Units (XONE),"Nov 29, 2016",tbd
The Crew: Ultimate Edition (PC),"Nov 29, 2016",5.3
The Crew: Calling All Units (PC),"Nov 29, 2016",tbd
Watch Dogs 2 (PC),"Nov 28, 2016",7.1
The Crew: Ultimate Edition (PS4),"Nov 22, 2016",5.3
Tom Clancy's The Division - Survival (PS4),"Nov 22, 2016",6.6
Tom Clancy's The Division - Survival (PC),"Nov 22, 2016",7.0
Tom Clancy's The Division - Survival (XONE),"Nov 22, 2016",7.4
Steep (PC),"Nov 18, 2016",6.9
Watch Dogs 2 (PS4),"Nov 15, 2016",7.8
Watch Dogs 2 (XONE),"Nov 15, 2016",7.4
Assassin's Creed: The Ezio Collection (XONE),"Nov 15, 2016",7.2
Assassin's Creed: The Ezio Collection (PS4),"Nov 15, 2016",7.5
Hasbro Family Fun Pack: Conquest Edition (PS4),"Nov 15, 2016",tbd
Hasbro Family Fun Pack: Conquest Edition (XONE),"Nov 15, 2016",tbd
Eagle Flight (PS4),"Nov 8, 2016",7.1
Just Dance 2017 (PC),"Oct 27, 2016",8.6
Just Dance 2017 (XONE),"Oct 25, 2016",6.6
Just Dance 2017 (WIIU),"Oct 25, 2016",7.1
Just Dance 2017 (PS4),"Oct 25, 2016",6.7
Just Dance 2017 (PS3),"Oct 25, 2016",tbd
Just Dance 2017 (WII),"Oct 25, 2016",7.4
Just Dance 2017 (X360),"Oct 25, 2016",7.1
Trolls: Crazy Party Forest! (iOS),"Oct 19, 2016",tbd
Eagle Flight (PC),"Oct 18, 2016",6.9
Rocksmith 2014 Edition: Remastered (PC),"Oct 4, 2016",tbd
Rocksmith 2014 Edition: Remastered (PS4),"Oct 4, 2016",6.5
Rocksmith 2014 Edition: Remastered (XONE),"Oct 4, 2016",7.3
Face Up - The Selfie Game (iOS),"Sep 28, 2016",tbd
NCIS: Hidden Crimes (iOS),"Sep 15, 2016",tbd
Just Sing (PS4),"Sep 6, 2016",6.1
Just Sing (XONE),"Sep 6, 2016",tbd
Champions of Anteria (PC),"Aug 30, 2016",7.1
Grow Up (XONE),"Aug 16, 2016",7.3
Grow Up (PC),"Aug 16, 2016",7.4
Grow Up (PS4),"Aug 16, 2016",6.1
Uno (PS4),"Aug 16, 2016",6.3
Uno (XONE),"Aug 16, 2016",7.3
Battleship (PS4),"Aug 16, 2016",6.3
Might and Magic: Heroes VII - Trial by Fire (PC),"Aug 4, 2016",6.2
Battleship (XONE),"Aug 2, 2016",7.6
Risk: Urban Assault (XONE),"Aug 2, 2016",5.4
Risk: Urban Assault (PS4),"Aug 2, 2016",6.3
Risk: Urban Assault (PS3),"Aug 2, 2016",tbd
Risk: Urban Assault (X360),"Aug 2, 2016",tbd
Tom Clancy's The Division - Underground (PC),"Jun 28, 2016",6.1
Tom Clancy's The Division - Underground (PS4),"Jun 28, 2016",5.5
Tom Clancy's The Division - Underground (XONE),"Jun 28, 2016",7.5
South Park: The Stick of Truth (PS4),"Jun 23, 2016",7.6
Trials of the Blood Dragon (PS4),"Jun 13, 2016",6.2
Trials of the Blood Dragon (XONE),"Jun 13, 2016",5.9
