Name,Platform,Developer,CriticScore,GlobalSale,ReleaseDate
Imagine: Makeup Artist,DS,Global A Entertainment,N/A,0.29,2020-12-31
F1 2018,PS4,Codemasters Birmingham,N/A,0.28,2018-08-24
Legendary Fishing,NS,Ubisoft,N/A,0.00,2018-09-18
Legendary Fishing,PS4,Ubisoft,N/A,0.00,2018-09-18
Far Cry 3: Classic Edition,PS4,Ubisoft Montreal,N/A,0.01,2018-07-05
The Crew 2,XOne,Ivory Tower,N/A,0.20,2018-06-29
The Crew 2,PS4,Ivory Tower,6.5,0.54,2018-06-29
Railway Empire,PS4,Gaming Minds Studios,N/A,0.02,2018-01-30
South Park: The Fractured But Whole,NS,Ubisoft San Francisco,N/A,0.09,2018-04-24
Far Cry 5,XOne,Ubisoft Montreal,7.2,1.60,2018-03-27
Far Cry 5,PS4,Ubisoft,7.9,3.64,2018-03-27
Far Cry 5,PC,Ubisoft,6.3,0.07,2018-02-27
Assassin's Creed Rogue Remastered    Read the review,XOne,Ubisoft,6.0,0.03,2018-03-20
Assassin's Creed Rogue Remastered,PS4,Ubisoft,N/A,0.15,2018-03-20
South Park: The Stick of Truth,XOne,Obsidian Entertainment,N/A,0.02,2018-02-13
South Park: The Stick of Truth,PS4,Obsidian Entertainment,N/A,0.02,2018-02-13
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,XOne,Ubisoft,N/A,0.05,2017-11-07
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,PS4,Ubisoft,N/A,0.06,2017-11-07
Monopoly for Nintendo Switch,NS,Engine Software,5.3,0.23,2017-10-31
Assassin's Creed Origins,PC,Ubisoft Montreal,N/A,0.10,2017-10-27
Assassin's Creed Origins,PS4,Ubisoft Montreal,N/A,3.93,2017-10-27
Assassin's Creed Origins,XOne,Ubisoft Montreal,N/A,2.39,2017-10-27
Just Dance 2018,NS,Ubisoft Paris,N/A,0.63,2017-10-24
Just Dance 2018,PS3,Ubisoft Paris,N/A,0.06,2017-10-24
Just Dance 2018,XOne,Ubisoft Paris,N/A,0.20,2017-10-24
Just Dance 2018,X360,Ubisoft Paris,N/A,0.08,2017-10-24
Just Dance 2018,PS4,Ubisoft Paris,N/A,0.28,2017-10-24
Just Dance 2018,Wii,Ubisoft Paris,N/A,0.34,2017-10-24
Just Dance 2018,WiiU,Ubisoft Paris,N/A,0.16,2017-10-24
South Park: The Fractured But Whole,XOne,Ubisoft San Francisco,N/A,0.58,2017-10-17
South Park: The Fractured But Whole,PS4,Ubisoft San Francisco,N/A,1.36,2017-10-17
South Park: The Fractured But Whole,PC,Ubisoft San Francisco,N/A,0.08,2017-10-17
Sniper: Ghost Warrior 3,PS4,City Interactive,N/A,0.32,2017-04-25
F1 2017,PS4,Codemasters,N/A,0.62,2017-08-25
Rayman Legends,NS,Ubisoft Montpellier,4.5,0.56,2017-09-12
Mario + Rabbids: Kingdom Battle    Read the review,NS,Ubisoft Milan,7.7,2.19,2017-08-29
DiRT 4,PS4,Codemasters,N/A,0.48,2017-06-06
Star Trek Bridge Crew,PS4,Red Storm Entertainment,N/A,0.21,2017-05-30
Tom Clancy's Ghost Recon Wildlands,PS4,Ubisoft Paris,7.0,3.04,2017-03-07
Tom Clancy's Ghost Recon Wildlands,PC,Ubisoft Paris,7.4,0.04,2017-03-07
Tom Clancy's Ghost Recon Wildlands,XOne,Ubisoft Paris,7.7,1.54,2017-03-07
Just Dance 2017,NS,Ubisoft Paris,6.5,0.25,2017-03-03
For Honor,XOne,Ubisoft Montreal,N/A,0.82,2017-02-14
For Honor,PS4,Ubisoft Montreal,N/A,1.65,2017-02-14
For Honor,PC,Ubisoft Montreal,N/A,0.04,2017-02-14
Werewolves Within,PS4,Ubisoft,N/A,0.05,2016-12-06
Steep,XOne,Ubisoft Annecy,N/A,0.44,2016-12-02
Steep,PS4,Ubisoft Annecy,N/A,0.97,2016-12-02
Assassin's Creed The Ezio Collection,PS4,Ubisoft,N/A,0.79,2016-11-15
Assassin's Creed The Ezio Collection,XOne,Ubisoft,N/A,0.27,2016-11-15
Hasbro Family Fun Pack Conquest Edition,PS4,Ubisoft,N/A,0.07,2016-11-15
Hasbro Family Fun Pack Conquest Edition,XOne,Ubisoft,N/A,0.06,2016-11-15
Watch Dogs 2,XOne,Ubisoft,N/A,1.30,2016-11-15
Watch Dogs 2,PS4,Ubisoft,N/A,3.31,2016-11-15
Watch Dogs 2,PC,Ubisoft,N/A,0.00,2016-11-15
Eagle Flight,PS4,Ubisoft,N/A,0.20,2016-11-08
Just Dance 2017,PS3,Ubisoft Paris,N/A,0.13,2016-10-25
Just Dance 2017,X360,Ubisoft Paris,N/A,0.28,2016-10-25
Just Dance 2017,XOne,Ubisoft Paris,N/A,0.33,2016-10-25
Just Dance 2017,Wii,Ubisoft Paris,N/A,1.00,2016-10-25
Just Dance 2017,WiiU,Ubisoft Paris,N/A,0.43,2016-10-25
Just Dance 2017,PS4,Ubisoft Paris,N/A,0.24,2016-10-25
Rocksmith 2014 Edition Remastered,PS4,Ubisoft,N/A,0.13,2016-10-04
Rocksmith 2014 Edition Remastered,XOne,Ubisoft,N/A,0.12,2016-10-04
Just Sing,PS4,Ubisoft,N/A,0.04,2016-09-06
Just Sing,XOne,Ubisoft,N/A,0.05,2016-09-06
F1 2016,PS4,Codemasters,N/A,0.78,2017-01-01
Grand Ages: Medieval,PS4,Gaming Minds Studios,N/A,0.09,2015-09-29
Assassin's Creed Chronicles,PSV,Climax Studios,N/A,0.12,2016-04-05
TrackMania Turbo,XOne,Nadeo,N/A,0.10,2016-03-22
TrackMania Turbo,PS4,Nadeo,N/A,0.47,2016-03-22
TrackMania Turbo,PC,Nadeo,N/A,0.01,2016-03-22
Tom Clancy's The Division,XOne,Massive Entertainment,N/A,2.54,2016-03-08
Tom Clancy's The Division,PC,Massive Entertainment,N/A,0.47,2016-03-08
Tom Clancy's The Division,PS4,Massive Entertainment,N/A,4.37,2016-03-08
Far Cry: Primal,PC,Ubisoft Montreal,8.0,0.24,2016-03-01
Far Cry: Primal,XOne,Ubisoft Montreal,7.8,1.00,2016-02-23
Far Cry: Primal,PS4,Ubisoft Montreal,7.2,2.73,2016-02-23
Assassin's Creed Chronicles,XOne,Climax Studios,N/A,0.01,2016-02-09
Assassin's Creed Chronicles,PS4,Climax Studios,N/A,0.11,2016-02-09
Zombi,XOne,Ubisoft Montpellier,N/A,0.01,2016-01-21
Tom Clancy's Rainbow Six: Siege,XOne,Ubisoft Montreal,N/A,2.53,2015-12-01
Tom Clancy's Rainbow Six: Siege,PS4,Ubisoft Montreal,N/A,4.14,2015-12-01
Tom Clancy's Rainbow Six: Siege,PC,Ubisoft Montreal,N/A,0.30,2015-12-01
Assassin's Creed Syndicate,PC,Ubisoft Quebec,N/A,0.26,2015-11-19
The Crew: Wild Run,XOne,Ivory Tower,N/A,0.02,2015-11-17
The Crew: Wild Run,PS4,Ivory Tower,N/A,0.14,2015-11-17
The Crew: Wild Run,PC,Ivory Tower,N/A,0.02,2015-11-17
Anno 2205,PC,Blue Byte,N/A,0.23,2015-11-03
Assassin's Creed Syndicate,PS4,Ubisoft Quebec,8.6,3.58,2015-10-23
Assassin's Creed Syndicate,XOne,Ubisoft Quebec,N/A,1.43,2015-10-23
Hasbro Family Fun Pack,XOne,Ubisoft,N/A,0.13,2015-10-20
Just Dance 2016,Wii,Ubisoft Paris,N/A,1.11,2015-10-20
Just Dance 2016,WiiU,Ubisoft Paris,N/A,0.60,2015-10-20
Just Dance 2016,PS3,Ubisoft Paris,N/A,0.22,2015-10-20
Just Dance 2016,XOne,Ubisoft Paris,N/A,0.38,2015-10-20
Just Dance 2016,X360,Ubisoft Paris,N/A,0.36,2015-10-20
Just Dance 2016,PS4,Ubisoft Paris,N/A,0.39,2015-10-20
Gravity Falls: Legend of the Gnome Gemulets,3DS,Ubisoft,N/A,0.04,2015-10-20
Just Dance: Disney Party 2,Wii,Ubisoft San Francisco,N/A,0.01,2015-10-20
Just Dance: Disney Party 2,XOne,Ubisoft San Francisco,N/A,0.08,2015-10-20
Just Dance: Disney Party 2,X360,Ubisoft San Francisco,N/A,0.07,2015-10-20
Just Dance: Disney Party 2,WiiU,Ubisoft San Francisco,N/A,0.09,2015-10-20
Might & Magic Heroes VII,PC,Limbic Software,N/A,0.09,2015-09-29
Zombi,PS4,Ubisoft Montpellier,7.5,0.07,2015-08-18
Toy Soldiers: War Chest,XOne,Signal Studios,N/A,0.08,2015-08-11
Toy Soldiers: War Chest,PS4,Signal Studios,N/A,0.09,2015-08-11
F1 2015,PC,Codemasters Birmingham,N/A,0.06,2015-07-21
F1 2015,XOne,Codemasters Birmingham,N/A,0.25,2015-07-21
F1 2015,PS4,Codemasters Birmingham,N/A,0.68,2015-07-21
Tetris Ultimate,PSV,Ubisoft Montreal,N/A,0.00,2015-06-04
Assassin's Creed Chronicles: China,PS4,Ubisoft,N/A,0.04,2015-04-01
Assassin's Creed Chronicles: China,PC,Ubisoft,N/A,0.00,2015-04-01
Assassin's Creed: Rogue,PC,Ubisoft Sofia,N/A,0.10,2015-03-10
Lords of the Fallen,PS4,DECK13 Interactive,N/A,0.55,2014-10-28
The Mighty Quest for Epic Loot,PC,Unknown,N/A,0.01,2015-02-05
Rabbids Invasion: The Interactive TV Show,XOne,Ubisoft Paris,N/A,0.01,2015-01-01
Rabbids Invasion: The Interactive TV Show,PS4,Ubisoft Paris,N/A,0.02,2015-01-01
